,date,epsActual,epsEstimated,eps_surprise,ticker
75,2007-07-26,0.15,0.14,0.009999999999999981,TSM
74,2007-10-25,0.17,0.18,-0.009999999999999981,TSM
73,2008-01-31,0.2,0.19,0.010000000000000009,TSM
72,2008-04-29,0.17,0.16,0.010000000000000009,TSM
71,2008-07-31,0.18,0.18,0.0,TSM
70,2008-10-30,0.19,0.2,-0.010000000000000009,TSM
69,2009-01-22,0.07,0.07,0.0,TSM
67,2009-07-30,0.14,0.13,0.010000000000000009,TSM
66,2009-10-29,0.18,0.18,0.0,TSM
65,2010-01-28,0.19,0.19,0.0,TSM
64,2010-04-28,0.2,0.19,0.010000000000000009,TSM
63,2010-07-30,0.24,0.23,0.009999999999999981,TSM
62,2010-10-28,0.28,0.24,0.040000000000000036,TSM
61,2011-02-03,0.26,0.26,0.0,TSM
60,2011-04-29,0.24,0.24,0.0,TSM
59,2011-07-28,0.24,0.25,-0.010000000000000009,TSM
58,2011-10-27,0.2,0.2,0.0,TSM
57,2012-01-18,0.2,0.2,0.0,TSM
56,2012-04-26,0.22,0.19,0.03,TSM
55,2012-07-19,0.27,0.27,0.0,TSM
54,2012-10-25,0.32,0.31,0.010000000000000009,TSM
53,2013-01-17,0.28,0.28,0.0,TSM
52,2013-04-18,0.26,0.21,0.05000000000000002,TSM
51,2013-07-18,0.33,0.31,0.020000000000000018,TSM
50,2013-10-17,0.34,0.34,0.0,TSM
49,2014-01-16,0.29,0.28,0.009999999999999953,TSM
48,2014-04-17,0.31,0.3,0.010000000000000009,TSM
47,2014-07-16,0.38,0.37,0.010000000000000009,TSM
46,2014-10-16,0.49,0.49,0.0,TSM
45,2015-01-15,0.5,0.49,0.010000000000000009,TSM
44,2015-04-16,0.48,0.48,0.0,TSM
43,2015-07-16,0.5,0.37,0.13,TSM
42,2015-10-15,0.46,0.45,0.010000000000000009,TSM
41,2016-01-14,0.43,0.4,0.02999999999999997,TSM
40,2016-04-14,0.38,0.37,0.010000000000000009,TSM
39,2016-07-14,0.43,0.42,0.010000000000000009,TSM
38,2016-10-13,0.59,0.57,0.020000000000000018,TSM
37,2017-01-12,0.61,0.58,0.030000000000000027,TSM
36,2017-04-13,0.54,0.53,0.010000000000000009,TSM
35,2017-07-13,0.42,0.56,-0.14000000000000007,TSM
34,2017-10-19,0.57,0.56,0.009999999999999898,TSM
33,2018-01-18,0.64,0.63,0.010000000000000009,TSM
32,2018-04-19,0.59,0.6,-0.010000000000000009,TSM
31,2018-07-19,0.47,0.45,0.019999999999999962,TSM
30,2018-10-18,0.56,0.56,0.0,TSM
29,2019-01-17,0.63,0.63,0.0,TSM
28,2019-04-18,0.38,0.38,0.0,TSM
27,2019-07-18,0.41,0.42,-0.010000000000000009,TSM
26,2019-10-17,0.62,0.63,-0.010000000000000009,TSM
25,2020-01-16,0.73,0.72,0.010000000000000009,TSM
